SAMPLE_ID	mutations	cna	structural_variants
P-0041215-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041215-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041215-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0041246-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041306-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041310-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041325-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041416-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041477-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041477-T02-IM7	IMPACT505	IMPACT505	IMPACT505
P-0041575-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041594-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041615-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041629-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041641-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041641-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0041703-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0041908-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042033-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0042033-T03-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042154-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042173-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042173-T02-IM7	IMPACT505	IMPACT505	IMPACT505
P-0042228-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042313-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042317-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042533-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042533-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0042596-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042596-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042611-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042613-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042613-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0042613-T03-XS1	ACCESS129	ACCESS129	ACCESS129
P-0042613-T04-XS1	ACCESS129	ACCESS129	ACCESS129
P-0042616-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042799-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0042996-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043018-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043018-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043042-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043153-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043170-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043176-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043187-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043187-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043200-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043200-T02-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043222-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043243-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043243-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043250-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043255-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043311-T02-XS1	ACCESS129	ACCESS129	ACCESS129
P-0043350-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043375-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043410-T01-IM6	IMPACT468	IMPACT468	IMPACT468
P-0043478-T01-IM6	IMPACT468	IMPACT468	IMPACT468
